"Year","Staten Island Ferry","Brooklyn Bridge","Manhattan Bridge","Williamsburg Bridge","Queensboro Bridge","Hudson River Greenway at 50th St.”,”9th 10th 11th 12th Avenues at 50th St.”,”Grand Total"
"1980","207","623","","146","344","","761","2081"
"1985","231","913","","392","759","","1145","3440"
"1986","224","1542","","420","780","","1256","4222"
"1987","327","1633","","368","436","","1565","4329"
"1988","244","988","","282","330","","1206","3050"
"1989","202","690","","240","423","","1606","3161"
"1990","170","1075","","248","227","","1084","2804"
"1991","341","1183","","N/A","602","","1741","3867"
"1992","290","1073","","362","737","","1802","4264"
"1993","293","1193","","361","709","","2196","4752"
"1994","241","1305","","439","672","","1881","4538"
"1995","386","1715","","664","964","","1736","5465"
"1996","387","1613","","791","1314","","1579","5684"
"1997","318","1698","","1022","786","","1679","5503"
"1998","335","1115","","966","692","","1392","4500"
"1999","366","1109","","1004","820","","2039","5338"
"2000","389","762","","733","546","","1880","4310"
"2001","253","867","147","792","667","2113","","4839"
"2002","104","981","546","1117","517","2366","","5631"
"2003","354","1049","661","1387","1331","2885","","7667"
"2004","303","1422","856","974","1099","2686","","7340"
"2005","290","1349","829","1609","976","2037","","7090"
"2006","105","1284","1578","2566","1158","1958","","8649"
"2007","252","1626","1313","2257","1292","2586","","9326"
"2008","235","1688","2210","2903","1891","3400","","12327"
"2009","256","2294","2606","3823","2225","4289","","15493"
"2010","378","2153","2984","4296","2626","5055","","17492"
"2011","368","2322","3617","4515","2904","5120","","18846"